dato,aktiekurs
15/03/2004,1397.986
16/03/2004,1421.956
17/03/2004,1474.177
18/03/2004,1458.769
19/03/2004,1450.207
22/03/2004,1385.145
23/03/2004,1408.26
24/03/2004,1446.783
25/03/2004,1476.747
26/03/2004,1453.632
29/03/2004,1504.997
30/03/2004,1500.717
31/03/2004,1506.709
01/04/2004,1543.521
02/04/2004,1605.16
05/04/2004,1594.886
06/04/2004,1562.355
07/04/2004,1545.233
08/04/2004,1553.794
12/04/2004,1540.953
13/04/2004,1502.428
14/04/2004,1501.573
15/04/2004,1471.609
16/04/2004,1419.388
19/04/2004,1429.662
20/04/2004,1388.569
21/04/2004,1652.243
22/04/2004,1773.807
23/04/2004,1748.981
26/04/2004,1735.284
27/04/2004,1739.564
28/04/2004,1677.926
29/04/2004,1591.462
30/04/2004,1562.355
03/05/2004,1559.786
04/05/2004,1596.598
05/05/2004,1639.403
06/05/2004,1609.439
07/05/2004,1603.447
10/05/2004,1601.735
11/05/2004,1600.879
12/05/2004,1613.72
13/05/2004,1659.092
14/05/2004,1617.145
17/05/2004,1596.598
18/05/2004,1626.562
19/05/2004,1657.38
20/05/2004,1647.964
21/05/2004,1677.071
24/05/2004,1669.366
25/05/2004,1705.322
26/05/2004,1671.077
27/05/2004,1695.048
28/05/2004,1692.479
01/06/2004,1702.753
02/06/2004,1714.739
03/06/2004,1652.243
04/06/2004,1692.479
07/06/2004,1747.269
08/06/2004,1744.701
09/06/2004,1702.753
10/06/2004,1703.609
14/06/2004,1625.706
15/06/2004,1582.811
16/06/2004,1597.395
17/06/2004,1551.927
18/06/2004,1487.585
21/06/2004,1504.742
22/06/2004,1535.627
23/06/2004,1575.948
24/06/2004,1568.227
25/06/2004,1568.227
28/06/2004,1541.631
29/06/2004,1544.206
30/06/2004,1565.653
01/07/2004,1559.647
02/07/2004,1524.474
06/07/2004,1445.548
07/07/2004,1490.158
08/07/2004,1494.448
09/07/2004,1501.312
12/07/2004,1464.421
13/07/2004,1485.869
14/07/2004,1436.969
15/07/2004,1422.384
16/07/2004,1355.47
19/07/2004,1324.586
20/07/2004,1380.348
21/07/2004,1275.686
22/07/2004,1339.17
23/07/2004,1310.859
26/07/2004,1322.87
27/07/2004,1328.017
28/07/2004,1388.927
29/07/2004,1373.485
30/07/2004,1366.622
02/08/2004,1392.359
03/08/2004,1339.17
04/08/2004,1329.733
05/08/2004,1311.717
06/08/2004,1264.533
09/08/2004,1262.817
10/08/2004,1298.849
11/08/2004,1229.36
12/08/2004,1211.344
13/08/2004,1219.065
16/08/2004,1237.081
17/08/2004,1293.701
18/08/2004,1340.028
19/08/2004,1340.028
20/08/2004,1376.916
23/08/2004,1386.353
24/08/2004,1373.485
25/08/2004,1406.943
26/08/2004,1405.227
27/08/2004,1423.243
30/08/2004,1389.785
31/08/2004,1385.495
01/09/2004,1394.932
02/09/2004,1409.516
03/09/2004,1384.638
07/09/2004,1345.175
08/09/2004,1295.417
09/09/2004,1377.775
10/09/2004,1431.821
13/09/2004,1430.964
14/09/2004,1450.743
15/09/2004,1406.025
16/09/2004,1443.863
17/09/2004,1462.782
20/09/2004,1493.74
21/09/2004,1533.298
22/09/2004,1542.757
23/09/2004,1538.458
24/09/2004,1533.298
27/09/2004,1504.92
28/09/2004,1505.78
29/09/2004,1512.66
30/09/2004,1551.357
01/10/2004,1614.134
04/10/2004,1634.773
05/10/2004,1633.053
06/10/2004,1612.415
07/10/2004,1616.713
08/10/2004,1583.175
11/10/2004,1590.916
12/10/2004,1579.736
13/10/2004,1582.316
14/10/2004,1576.295
15/10/2004,1586.616
18/10/2004,1609.834
19/10/2004,1590.916
20/10/2004,1469.662
21/10/2004,1461.062
22/10/2004,1424.084
25/10/2004,1449.882
26/10/2004,1462.782
27/10/2004,1516.96
28/10/2004,1495.461
29/10/2004,1484.281
01/11/2004,1475.681
02/11/2004,1468.801
03/11/2004,1436.124
04/11/2004,1466.221
05/11/2004,1467.942
08/11/2004,1455.902
09/11/2004,1433.544
10/11/2004,1477.401
11/11/2004,1511.799
12/11/2004,1556.517
15/11/2004,1551.357
16/11/2004,1536.738
17/11/2004,1559.097
18/11/2004,1573.716
19/11/2004,1542.757
22/11/2004,1586.616
23/11/2004,1622.734
24/11/2004,1634.773
26/11/2004,1633.914
29/11/2004,1671.75
30/11/2004,1656.272
01/12/2004,1698.41
02/12/2004,1690.67
03/12/2004,1715.041
06/12/2004,1758.277
07/12/2004,1729.453
08/12/2004,1709.276
09/12/2004,1702.55
10/12/2004,1569.959
13/12/2004,1651.627
14/12/2004,1622.736
15/12/2004,1633.329
16/12/2004,1651.627
17/12/2004,1637.182
20/12/2004,1632.367
21/12/2004,1667.037
22/12/2004,1679.555
23/12/2004,1662.221
27/12/2004,1663.184
28/12/2004,1655.479
29/12/2004,1652.59
30/12/2004,1653.554
31/12/2004,1656.443
03/01/2005,1642.96
04/01/2005,1610.216
05/01/2005,1590.955
06/01/2005,1609.253
07/01/2005,1607.327
10/01/2005,1635.256
11/01/2005,1602.512
12/01/2005,1586.139
13/01/2005,1632.367
14/01/2005,1640.071
18/01/2005,1678.593
19/01/2005,1560.138
