DATE;CLOSING;RETURN;;
11-08-2005;5277,42;6427,62;;
12-08-2005;5259,89;6406,55;;
15-08-2005;5247,24;6391,54;;
16-08-2005;5185,07;6317,27;;
17-08-2005;5155,63;6285,52;;
18-08-2005;5104,6;6223,31;;
19-08-2005;5147,07;6275,08;;
22-08-2005;5181,92;6317,57;;
23-08-2005;5142,47;6269,48;;
24-08-2005;5126,84;6250,42;;
25-08-2005;5137,96;6264,31;;
26-08-2005;5091,75;6207,98;;
29-08-2005;5106,92;6226,47;;
30-08-2005;5097,92;6215,54;;
31-08-2005;5186,58;6323,63;;
01-09-2005;5256,96;6409,44;;
02-09-2005;5267,34;6422,09;;
06-09-2005;5330,68;6499,32;;
07-09-2005;5310,46;6476;;
08-09-2005;5285,3;6445,31;;
09-09-2005;5339,44;6511,53;;
12-09-2005;5290,43;6451,77;;
13-09-2005;5253,22;6407,21;;
14-09-2005;5277,31;6438,22;;
15-09-2005;5283,82;6446,17;;
16-09-2005;5338,44;6512,8;;
19-09-2005;5313,89;6482,85;;
20-09-2005;5300,08;6466,04;;
21-09-2005;5299,85;6465,77;;
22-09-2005;5282,41;6444,48;;
23-09-2005;5267,93;6426,82;;
26-09-2005;5335,66;6509,73;;
27-09-2005;5314,83;6488,17;;
28-09-2005;5371,3;6557,1;;
29-09-2005;5402,36;6595,01;;
30-09-2005;5380;6568,12;;
03-10-2005;5367,35;6552,68;;
04-10-2005;5333,19;6510,98;;
05-10-2005;5256,37;6417,75;;
06-10-2005;5234,18;6390,65;;
07-10-2005;5257,94;6419,65;;
10-10-2005;5233,75;6390,12;;
11-10-2005;5241,97;6400,16;;
12-10-2005;5195,69;6343,66;;
13-10-2005;5165,02;6306,21;;
14-10-2005;5217,53;6370,32;;
17-10-2005;5195,09;6343,17;;
18-10-2005;5114,93;6245,3;;
19-10-2005;5161,13;6301,71;;
20-10-2005;5045,42;6160,43;;
21-10-2005;5060,07;6178,81;;
24-10-2005;5137,81;6275,18;;
25-10-2005;5136,4;6273,44;;
26-10-2005;5129,96;6265,73;;
27-10-2005;5097,56;6226,97;;
28-10-2005;5150,19;6291,27;;
31-10-2005;5199,7;6351,74;;
01-11-2005;5208,07;6361,97;;
02-11-2005;5271,66;6443,74;;
03-11-2005;5289,89;6466,03;;
04-11-2005;5239,77;6405,24;;
07-11-2005;5243,14;6409,36;;
08-11-2005;5221,5;6388,77;;
09-11-2005;5218,55;6385,16;;
10-11-2005;5199,87;6362,59;;
11-11-2005;5226,4;6395,05;;
14-11-2005;5210,04;6375,03;;
15-11-2005;5167,17;6322,63;;
16-11-2005;5165,04;6321,47;;
17-11-2005;5238,06;6410,85;;
18-11-2005;5257,59;6436,56;;
21-11-2005;5281,01;6469,05;;
22-11-2005;5310,14;6510,36;;
23-11-2005;5331,9;6537,04;;
25-11-2005;5311,86;6512,46;;
28-11-2005;5292,42;6488,63;;
29-11-2005;5290,81;6486,66;;
30-11-2005;5247,44;6434,15;;
01-12-2005;5346,16;6555,2;;
02-12-2005;5355,87;6567,11;;
05-12-2005;5370,98;6585,64;;
06-12-2005;5390,72;6609,84;;
07-12-2005;5347,26;6556,66;;
08-12-2005;5368,38;6582,55;;
09-12-2005;5380,02;6596,82;;
12-12-2005;5429,2;6657,13;;
13-12-2005;5445,22;6677,6;;
14-12-2005;5450,13;6683,95;;
15-12-2005;5398,78;6620,97;;
16-12-2005;5424,32;6652,3;;
19-12-2005;5411,61;6636,71;;
20-12-2005;5407,36;6632,26;;
21-12-2005;5429,98;6660,01;;
22-12-2005;5440,42;6672,81;;
23-12-2005;5445,01;6678,72;;
27-12-2005;5395,78;6618,62;;
28-12-2005;5430,34;6662,93;;
29-12-2005;5433,87;6667,69;;
30-12-2005;5410,02;6638,42;;
03-01-2006;5572,62;6838,23;;
04-01-2006;5639,59;6920,41;;
05-01-2006;5612,85;6888,14;;
06-01-2006;5695,78;6989,91;;
09-01-2006;5692,59;6986,42;;
10-01-2006;5633,79;6914,26;;
11-01-2006;5673,11;6962,51;;
12-01-2006;5630,67;6910,43;;
13-01-2006;5649,67;6933,75;;
17-01-2006;5617,6;6894,39;;
18-01-2006;5556,66;6820,29;;
19-01-2006;5610,42;6886,28;;
20-01-2006;5537,16;6796,36;;
23-01-2006;5615,71;6892,78;;
24-01-2006;5610,77;6888,65;;
25-01-2006;5628,51;6910,44;;
26-01-2006;5702,77;7001,61;;
27-01-2006;5735,8;7042,99;;
30-01-2006;5734,85;7041,82;;
31-01-2006;5763,8;7077,36;;
01-02-2006;5760,64;7073,78;;
02-02-2006;5695,54;6993,84;;
03-02-2006;5667,9;6959,9;;
06-02-2006;5669;6961,25;;
